Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned
Dell,4,2,1,5,14,0.551724138,8,256,3.528,1460,Low
Dell,3,1,2,5,15.6,0.551724138,8,256,4.851,860,Low
Toshiba,4,2,1,7,13.3,0.862068966,8,256,2.646,1731,Medium
Acer,3,3,1,7,15.6,0.931034483,8,256,4.851,1057,Low
Asus,3,3,1,5,15.6,0.862068966,8,256,4.41,977,Low
Dell,3,2,1,5,14,0.862068966,8,256,3.528,1091,Low
Dell,3,1,2,7,15.6,0.931034483,16,256,4.10622103,1142,Low
Acer,1,3,1,5,15,0.862068966,8,256,5.5125,1075,Low
Dell,1,3,1,5,15.6,0.862068966,8,256,5.6448,1117,Low
Asus,1,3,1,7,17.3,1,16,256,7.938,3810,High
Acer,3,3,1,3,17,0.931034483,4,256,6.615,892,Low
Dell,4,2,1,5,13.3,0.551724138,8,256,3.10905,1206,Low
Lenovo,3,2,1,7,15.6,0.620689655,8,256,4.52025,1118,Low
Dell,3,1,2,7,15.6,0.620689655,8,256,4.10622103,934,Low
Lenovo,1,3,1,5,15,0.862068966,8,256,5.5125,1053,Low
Lenovo,3,2,1,5,15.6,0.862068966,6,256,4.851,735,Low
Acer,3,3,1,7,15,0.620689655,8,256,6.615,1208,Low
Lenovo,3,2,1,7,15,0.931034483,8,256,4.29975,1394,Low
Asus,4,3,1,5,15.6,0.862068966,8,256,3.7485,1241,Low
Dell,3,3,1,7,15.6,0.965517241,8,256,4.41,2323,Medium
Lenovo,3,2,1,5,15.6,0.551724138,8,256,4.52025,939,Low
Acer,3,3,2,7,15.6,0.965517241,8,256,5.5125,1244,Low
Dell,5,3,1,7,17.3,1,16,256,7.5411,3665,High
Toshiba,3,3,1,7,15,0.862068966,8,256,4.851,1325,Low
Lenovo,3,2,1,5,13,0.862068966,8,256,2.4255,1269,Low
HP,3,2,1,5,14,0.862068966,8,256,4.29975,1245,Low
HP,3,2,1,7,14,0.931034483,8,256,3.2634,1641,Medium
Asus,3,2,1,7,14,0.931034483,8,256,4.41,1390,Low
Asus,4,3,1,7,15.6,0.931034483,8,256,3.7485,1334,Low
HP,4,2,1,7,12.5,0.931034483,8,256,2.7783,1696,Medium
Toshiba,3,2,1,5,15,0.862068966,8,256,4.41,1198,Low
Asus,1,3,1,7,15.6,0.965517241,8,256,5.5125,1269,Low
HP,3,2,1,5,14,0.896551724,8,256,3.2634,1611,Low
HP,3,2,1,5,15.6,0.862068966,8,256,4.0572,1453,Low
Dell,3,3,1,5,15.6,0.551724138,8,256,4.41,1452,Low
Dell,4,2,1,7,13.3,0.620689655,8,256,2.646,2006,Medium
HP,3,2,1,7,15.6,0.931034483,8,256,4.0572,1656,Medium
HP,5,3,1,7,15.6,0.965517241,8,256,5.733,2208,Medium
Dell,3,2,1,5,14,0.896551724,8,256,2.9988,1813,Medium
Asus,3,2,1,5,14,0.862068966,8,256,4.41,1200,Low
Dell,3,1,1,7,15.6,0.931034483,8,256,5.13765,1142,Low
HP,4,2,1,7,14,0.931034483,8,256,2.9988,2223,Medium
Lenovo,3,3,1,5,14,0.862068966,8,256,3.3075,1396,Low
Lenovo,3,2,1,3,13,0.827586207,4,128,3.3075,697,Low
Dell,5,3,1,7,15,0.931034483,8,256,4.41,2712,Medium
MSI,1,3,1,7,17.3,0.965517241,8,256,5.9535,1714,Medium
Dell,3,1,2,7,15.6,0.931034483,8,256,5.13765,989,Low
Lenovo,3,1,1,7,15,0.620689655,8,256,4.6305,1562,Low
Lenovo,3,2,1,5,14,0.862068966,8,256,4.1895,1192,Low
Acer,3,3,2,7,15.6,0.965517241,8,256,5.5125,1117,Low
Dell,3,1,2,5,15.6,0.862068966,4,256,5.0715,761,Low
HP,4,2,1,7,14,0.862068966,8,256,3.15315,1905,Medium
Lenovo,4,1,1,7,14,0.620689655,8,256,3.85875,1544,Low
HP,3,2,1,7,15.6,1,8,256,5.09355,1813,Medium
Dell,4,2,2,7,14,0.965517241,8,256,3.528,1396,Low
Lenovo,3,2,1,7,13,0.931034483,8,256,3.087,1283,Low
Lenovo,3,2,1,3,14,0.931034483,4,128,3.7485,761,Low
Asus,3,2,2,5,15.6,0.862068966,4,256,4.41,710,Low
Dell,3,1,1,5,15.6,0.551724138,4,256,4.851,951,Low
Lenovo,4,2,1,5,12,0.862068966,8,256,2.9988,1815,Medium
Dell,3,3,1,5,14,0.965517241,8,256,3.6162,1498,Low
MSI,1,3,1,5,15.6,0.862068966,8,256,4.851,1306,Low
Dell,5,3,1,7,15,0.931034483,16,256,4.78485,2509,Medium
Lenovo,3,2,1,5,14,0.862068966,8,256,3.63825,1709,Medium
Lenovo,3,3,1,7,15.6,1,8,256,5.88735,2655,Medium
Dell,4,2,1,5,15.6,0.551724138,8,256,3.1311,2340,Medium
Dell,5,3,1,7,15.6,0.965517241,8,256,3.9249,3059,High
Toshiba,3,2,1,5,13,0.862068966,8,256,2.31525,2124,Medium
HP,3,2,1,5,13,0.551724138,4,128,3.28545,922,Low
Lenovo,3,2,1,5,14,0.551724138,8,256,3.85875,1333,Low
Lenovo,3,3,1,5,15,0.862068966,8,256,5.0715,1286,Low
Lenovo,3,2,1,7,15.6,0.620689655,8,256,4.78485,1142,Low
Lenovo,3,2,1,3,13,0.827586207,8,256,3.087,1206,Low
Lenovo,3,2,1,5,15,0.862068966,8,256,5.0715,1157,Low
Lenovo,3,2,1,5,13.3,0.862068966,8,256,3.1752,1206,Low
Dell,4,2,1,5,13.3,0.862068966,8,128,2.84445,1142,Low
HP,3,3,1,5,15.6,0.862068966,8,256,4.4982,1129,Low
HP,4,2,1,7,13,0.931034483,8,256,2.9106,1777,Medium
Dell,3,2,1,5,14,0.896551724,8,256,3.6162,1626,Medium
Lenovo,3,2,1,5,14,0.793103448,8,256,4.4541,1702,Medium
Dell,3,2,1,5,15.6,0.965517241,8,256,4.1895,1749,Medium
Dell,3,3,1,7,15.6,0.965517241,8,256,4.25565,1739,Medium
Dell,3,1,1,5,15.6,0.551724138,8,256,4.851,1013,Low
Lenovo,3,3,1,7,14,0.931034483,8,256,4.12335,1091,Low
Dell,3,2,1,3,14,0.689655172,4,128,3.528,935,Low
HP,3,2,1,3,15.6,0.827586207,4,128,4.6305,896,Low
Lenovo,3,2,1,3,15.6,0.689655172,4,128,4.851,634,Low
Dell,3,2,1,5,15.6,0.862068966,8,256,4.1895,1419,Low
Lenovo,3,2,1,3,15.6,0.931034483,4,128,4.52025,800,Low
Lenovo,3,3,1,7,17,0.965517241,8,256,7.497,3810,High
Lenovo,3,2,1,5,15.6,0.862068966,8,256,5.0715,1054,Low
Dell,3,1,2,7,15.6,0.931034483,8,256,4.851,951,Low
HP,3,2,1,3,13.3,0.827586207,4,128,3.28545,913,Low
Dell,3,3,1,7,15.6,0.965517241,16,256,4.25565,1953,Medium
Lenovo,4,2,1,7,14,0.896551724,12,256,3.087,2125,Medium
Lenovo,3,2,1,5,14,0.862068966,8,256,3.7485,1872,Medium
Dell,5,3,1,7,15.6,0.965517241,8,256,4.5423,2240,Medium
HP,3,2,1,7,15.6,0.931034483,8,256,4.0572,1548,Low
Toshiba,3,2,1,7,15,0.862068966,8,256,4.851,1777,Medium
Dell,3,1,2,5,15.6,0.862068966,4,128,4.8069,723,Low
Lenovo,3,2,1,5,14,0.793103448,8,256,3.63825,1861,Medium
Dell,3,3,1,7,15.6,0.965517241,8,256,4.41,2312,Medium
Lenovo,3,2,1,5,15.6,0.551724138,4,256,3.969,1053,Low
Acer,4,2,1,5,14,0.862068966,8,256,3.969,1167,Low
Razer,1,3,1,7,14,0.965517241,16,256,4.29975,3301,High
Toshiba,3,2,1,5,13.3,0.793103448,8,256,2.646,1541,Low
Lenovo,4,2,1,7,12,0.931034483,8,256,2.9988,2012,Medium
Dell,4,2,1,5,13.3,0.551724138,8,256,2.646,1842,Medium
Dell,3,1,1,7,15.6,0.620689655,8,256,4.851,1167,Low
Dell,3,2,1,5,14,0.827586207,8,256,3.4398,1561,Low
Toshiba,3,2,1,5,15,0.862068966,8,256,4.41,1598,Low
Asus,4,2,1,5,14,0.862068966,8,256,2.4255,1442,Low
Acer,1,3,1,5,15.6,0.862068966,16,256,5.5125,1650,Medium
MSI,1,3,1,5,15.6,0.862068966,8,256,4.851,1268,Low
HP,3,1,1,3,17,0.689655172,4,256,5.5125,888,Low
Lenovo,3,2,1,5,14,0.862068966,4,256,3.7485,888,Low
Toshiba,3,2,1,5,13,0.862068966,8,256,3.3075,1236,Low
Dell,3,2,1,5,15.6,0.862068966,8,256,4.8069,1010,Low
Lenovo,3,2,1,5,14,0.793103448,8,256,3.969,1513,Low
Dell,3,3,2,5,14,0.965517241,8,256,3.6162,1383,Low
Lenovo,3,3,1,5,14,0.862068966,8,256,4.12335,1089,Low
Dell,3,2,1,5,15.6,0.896551724,8,256,4.1895,1498,Low
HP,3,3,1,7,17.3,0.931034483,8,256,5.79915,1524,Low
Lenovo,4,2,1,5,14,0.862068966,8,256,2.9106,1904,Medium
Lenovo,3,2,1,5,13,0.862068966,8,256,3.1752,1219,Low
HP,5,3,1,7,15.6,0.965517241,16,256,5.733,3073,High
Toshiba,3,2,1,5,14,0.862068966,8,256,2.75625,1950,Medium
Samsung,4,2,1,7,13.3,0.931034483,16,256,1.78605,2095,Medium
HP,3,2,1,3,15.6,0.689655172,8,256,4.1013,685,Low
HP,3,2,1,5,15.6,0.827586207,8,256,4.0572,2414,Medium
HP,5,3,1,7,15.6,0.896551724,8,256,5.71095,1983,Medium
Dell,4,2,1,7,12.5,0.965517241,16,256,2.6019,2361,Medium
Samsung,4,2,1,7,15.6,0.931034483,8,256,2.88855,2031,Medium
Dell,3,1,1,7,15.6,0.931034483,16,256,5.0715,1501,Low
Acer,3,2,1,3,14,0.827586207,4,128,3.969,808,Low
Dell,1,3,1,5,15.6,0.862068966,8,256,5.7771,1251,Low
Dell,3,1,1,3,15.6,0.689655172,8,256,4.41,939,Low
HP,5,3,1,7,15.6,0.965517241,8,256,6.9237,2623,Medium
Asus,3,2,1,5,15.6,0.862068966,8,256,5.22585,1396,Low
Dell,4,2,1,5,13.3,0.862068966,8,256,2.84445,1904,Medium
Samsung,4,2,1,5,13.3,0.862068966,8,256,1.78605,1904,Medium
Dell,3,1,1,5,15.6,0.862068966,8,256,4.8069,1003,Low
Lenovo,4,2,1,7,14,0.931034483,8,256,2.9106,2361,Medium
MSI,1,3,1,5,15.6,0.862068966,8,256,5.292,1523,Low
Acer,3,2,1,3,14,0.827586207,8,128,3.3075,786,Low
Lenovo,3,2,1,5,14,0.793103448,8,256,3.7485,1507,Low
Lenovo,3,2,1,5,14,0.896551724,8,256,2.9106,2096,Medium
Dell,3,1,1,7,15.6,0.931034483,4,256,4.8069,939,Low
Lenovo,4,3,1,7,14,0.965517241,8,256,4.3218,2417,Medium
Asus,3,3,1,7,15,0.931034483,8,256,5.0715,1000,Low
Dell,3,2,1,5,15.6,0.862068966,8,128,4.1895,1200,Low
HP,3,1,1,5,15.6,0.896551724,8,256,4.0572,1714,Medium
Toshiba,3,2,1,5,13.3,0.862068966,4,128,2.31525,1632,Medium
Acer,3,2,1,5,14,0.862068966,8,256,3.4398,1146,Low
Toshiba,3,2,1,7,15,0.931034483,8,256,4.41,1763,Medium
Samsung,4,3,1,7,15,0.931034483,16,256,2.71215,2349,Medium
Dell,4,2,1,7,12.5,0.965517241,8,256,3.528,2147,Medium
Xiaomi,4,3,1,5,13,0.793103448,8,256,2.8224,1188,Low
HP,3,2,1,5,15.6,0.862068966,4,256,4.4982,1066,Low
HP,3,2,1,5,14,0.862068966,4,128,4.29975,1607,Low
Samsung,4,2,1,7,15,0.931034483,8,256,2.57985,2158,Medium
Lenovo,4,2,1,5,14,0.862068966,8,256,2.9106,2285,Medium
Toshiba,3,2,1,5,13.3,0.862068966,8,256,2.31525,1874,Medium
Dell,3,2,1,5,14,0.965517241,8,256,3.528,1531,Low
Lenovo,3,3,1,7,15.6,0.931034483,6,256,4.851,1002,Low
HP,3,3,1,7,15.6,0.931034483,8,256,4.4982,1294,Low
Lenovo,3,2,1,5,13.3,0.862068966,4,128,3.1752,1119,Low
HP,3,2,1,5,13.3,0.862068966,8,256,3.28545,1219,Low
HP,4,1,1,7,15.6,0.862068966,8,256,4.0572,1648,Medium
Toshiba,3,3,1,7,15,0.896551724,16,256,5.292,2509,Medium
Lenovo,4,2,1,7,12,0.931034483,8,256,2.9988,2096,Medium
HP,3,2,1,5,15.6,0.793103448,8,256,5.09355,1480,Low
Toshiba,3,2,1,5,14,0.793103448,4,128,3.24135,1404,Low
HP,2,2,1,5,12.5,0.793103448,8,256,2.7783,2120,Medium
Dell,4,2,1,5,14,0.862068966,8,256,2.9988,2082,Medium
Dell,4,2,1,5,15.6,0.862068966,8,256,2.9988,1870,Medium
Dell,4,2,1,7,14,0.965517241,8,256,2.9988,2255,Medium
Toshiba,3,2,1,5,13.3,0.793103448,8,256,2.646,1855,Medium
Lenovo,4,2,1,7,14,0.896551724,8,256,3.7485,1891,Medium
Toshiba,3,2,1,5,13.3,0.827586207,8,256,2.646,1950,Medium
Lenovo,4,2,1,5,12,0.896551724,8,256,2.9988,2236,Medium
Lenovo,3,3,1,5,15.6,0.862068966,6,256,5.292,883,Low
Toshiba,3,2,1,5,14,0.793103448,8,256,4.29975,1499,Low
